ID,상점명,플랫폼,프로필_URL,전화번호,상세주소,메신저_채널,구글맵_URL,상권명,활성여부,등록일시
1,SreyNeang Skincare,FACEBOOK,https://www.facebook.com/SreyNeangSkincareSensok,N/A,"Pin Location: Sensok, Phnom Penh, Cambodia",https://m.me/SreyNeangSkincareSensok,https://www.google.com/maps/search/?api=1&query=SreyNeang%20Skincare%2C%20Sensok%2C%20Phnom%20Penh%2C%20Cambodia,Sensok,1,2026-08-06 04:31:23
2,BKK1 Beauty Corner,FACEBOOK,https://www.facebook.com/BKK1BeautyCorner,N/A,"Pin Location: BKK1, Phnom Penh, Cambodia",https://m.me/BKK1BeautyCorner,https://www.google.com/maps/search/?api=1&query=BKK1%20Beauty%20Corner%2C%20BKK1%2C%20Phnom%20Penh%2C%20Cambodia,BKK1,1,2026-08-06 04:31:23
3,Toul Kork Cosmetics,FACEBOOK,https://www.facebook.com/ToulKorkCosmetics,N/A,"Pin Location: Toul Kork, Phnom Penh, Cambodia",https://m.me/ToulKorkCosmetics,https://www.google.com/maps/search/?api=1&query=Toul%20Kork%20Cosmetics%2C%20Toul%20Kork%2C%20Phnom%20Penh%2C%20Cambodia,Toul Kork,1,2026-08-06 04:31:23
4,Phnom Penh K-Beauty House,FACEBOOK,https://www.facebook.com/PPKBeautyHouse,N/A,"Pin Location: Daun Penh, Phnom Penh, Cambodia",https://m.me/PPKBeautyHouse,https://www.google.com/maps/search/?api=1&query=Phnom%20Penh%20K-Beauty%20House%2C%20Daun%20Penh%2C%20Phnom%20Penh%2C%20Cambodia,Daun Penh,1,2026-08-06 04:31:23
6,Guardian Cambodia Official,FACEBOOK,https://www.facebook.com/GuardianCambodia,N/A,"Pin Location: BKK1, Phnom Penh, Cambodia",https://m.me/GuardianCambodia,https://www.google.com/maps/search/?api=1&query=Guardian%20Cambodia%20Official%2C%20BKK1%2C%20Phnom%20Penh%2C%20Cambodia,BKK1,1,2026-08-06 04:31:23
7,Aeon Beauty Phnom Penh,FACEBOOK,https://www.facebook.com/AeonBeautyPP,N/A,"Pin Location: Chamkar Mon, Phnom Penh, Cambodia",https://m.me/AeonBeautyPP,https://www.google.com/maps/search/?api=1&query=Aeon%20Beauty%20Phnom%20Penh%2C%20Chamkar%20Mon%2C%20Phnom%20Penh%2C%20Cambodia,Chamkar Mon,1,2026-08-06 04:31:23
8,Toul Tum Poung Skincare,FACEBOOK,https://www.facebook.com/ToulTumPoungBeauty,N/A,"Pin Location: Toul Tum Poung, Phnom Penh, Cambodia",https://m.me/ToulTumPoungBeauty,https://www.google.com/maps/search/?api=1&query=Toul%20Tum%20Poung%20Skincare%2C%20Toul%20Tum%20Poung%2C%20Phnom%20Penh%2C%20Cambodia,Toul Tum Poung,1,2026-08-06 04:31:23
9,Olympic Market Beauty Store,FACEBOOK,https://www.facebook.com/OlympicMarketBeauty,N/A,"Pin Location: Olympic Market, Phnom Penh, Cambodia",https://m.me/OlympicMarketBeauty,https://www.google.com/maps/search/?api=1&query=Olympic%20Market%20Beauty%20Store%2C%20Olympic%20Market%2C%20Phnom%20Penh%2C%20Cambodia,Olympic Market,1,2026-08-06 04:31:23
11,Cambodia K-Beauty TikTok,TIKTOK,https://www.tiktok.com/@kbeautycambodia,N/A,"Pin Location: BKK1, Phnom Penh, Cambodia",N/A,https://www.google.com/maps/search/?api=1&query=Cambodia%20K-Beauty%20TikTok%2C%20BKK1%2C%20Phnom%20Penh%2C%20Cambodia,BKK1,0,2026-08-06 04:31:23
112,Anessa Cambodia Flagship,FACEBOOK,https://www.facebook.com/AnessaCambodiaOfficial,N/A,"Pin Location: BKK1, Phnom Penh, Cambodia",https://m.me/AnessaCambodiaOfficial,https://www.google.com/maps/search/?api=1&query=Anessa%20Cambodia%20Flagship%2C%20BKK1%2C%20Phnom%20Penh%2C%20Cambodia,BKK1,1,2026-08-06 04:35:56
